iter	Passed	Remaining
0	10	10106
1	18	9467
2	28	9467
3	37	9242
4	45	9147
5	55	9122
6	64	9125
7	73	9088
8	82	9069
9	91	9064
10	100	9058
11	109	9044
12	118	9030
13	127	9001
14	136	8965
15	145	8972
16	154	8945
17	163	8925
18	172	8914
19	181	8903
20	191	8907
21	200	8904
22	209	8902
23	218	8880
24	227	8868
25	236	8860
26	245	8857
27	254	8848
28	264	8849
29	278	9004
30	287	8983
31	296	8971
32	305	8963
33	315	8958
34	324	8935
35	333	8921
36	342	8910
37	351	8899
38	360	8883
39	369	8872
40	378	8859
41	387	8846
42	397	8839
43	406	8826
44	415	8823
45	424	8808
46	433	8794
47	443	8786
48	452	8780
49	461	8772
50	471	8764
51	480	8758
52	489	8748
53	499	8745
54	508	8734
55	517	8727
56	526	8717
57	536	8707
58	545	8697
59	554	8689
60	563	8678
61	573	8669
62	582	8660
63	591	8652
64	600	8644
65	610	8634
66	619	8620
67	628	8609
68	637	8595
69	645	8580
70	654	8567
71	663	8554
72	672	8540
73	681	8526
74	690	8512
75	699	8499
76	707	8485
77	716	8472
78	725	8457
79	736	8470
80	746	8474
81	755	8463
82	764	8444
83	773	8435
84	782	8425
85	791	8412
86	800	8397
87	808	8382
88	817	8370
89	826	8355
90	834	8340
91	843	8326
92	852	8310
93	860	8295
94	869	8283
95	878	8269
96	886	8254
97	895	8245
98	904	8230
99	912	8215
100	921	8200
101	929	8186
102	938	8172
103	947	8159
104	956	8149
105	964	8135
106	973	8121
107	981	8109
108	990	8100
109	999	8085
110	1008	8074
111	1016	8063
112	1025	8053
113	1034	8039
114	1042	8024
115	1051	8012
116	1059	7999
117	1068	7987
118	1077	7974
119	1085	7959
120	1094	7948
121	1102	7937
122	1111	7923
123	1119	7910
124	1128	7899
125	1136	7885
126	1145	7873
127	1153	7861
128	1162	7847
129	1170	7835
130	1179	7824
131	1188	7813
132	1196	7800
133	1205	7787
134	1213	7777
135	1222	7767
136	1231	7756
137	1240	7746
138	1248	7736
139	1257	7726
140	1266	7714
141	1279	7728
142	1287	7717
143	1296	7704
144	1304	7694
145	1313	7680
146	1321	7670
147	1330	7659
148	1339	7648
149	1347	7637
150	1356	7627
151	1365	7617
152	1374	7610
153	1383	7598
154	1391	7587
155	1400	7576
156	1409	7566
157	1418	7557
158	1426	7546
159	1435	7537
160	1444	7526
161	1452	7515
162	1461	7503
163	1469	7492
164	1478	7481
165	1487	7474
166	1496	7463
167	1504	7452
168	1513	7443
169	1522	7432
170	1531	7422
171	1540	7413
172	1548	7402
173	1557	7392
174	1565	7382
175	1574	7371
176	1583	7361
177	1591	7350
178	1600	7340
179	1609	7330
180	1617	7320
181	1626	7310
182	1635	7300
183	1644	7291
184	1653	7282
185	1662	7273
186	1671	7265
187	1680	7257
188	1689	7248
189	1698	7240
190	1707	7231
191	1716	7222
192	1725	7214
193	1734	7206
194	1743	7199
195	1753	7191
196	1762	7183
197	1771	7175
198	1780	7168
199	1790	7162
200	1799	7154
201	1809	7146
202	1818	7139
203	1827	7130
204	1836	7122
205	1845	7113
206	1854	7105
207	1863	7096
208	1873	7088
209	1882	7081
210	1891	7072
211	1900	7065
212	1909	7057
213	1919	7048
214	1928	7040
215	1937	7033
216	1946	7025
217	1955	7016
218	1964	7006
219	1973	6998
220	1983	6990
221	1991	6980
222	2000	6971
223	2009	6960
224	2018	6951
225	2027	6942
226	2035	6932
227	2044	6923
228	2053	6914
229	2062	6906
230	2072	6897
231	2081	6890
232	2090	6882
233	2100	6874
234	2108	6865
235	2117	6856
236	2126	6847
237	2136	6839
238	2145	6830
239	2154	6822
240	2163	6812
241	2172	6803
242	2181	6795
243	2190	6787
244	2199	6779
245	2209	6773
246	2218	6764
247	2228	6756
248	2237	6748
249	2246	6739
250	2256	6732
251	2265	6724
252	2274	6716
253	2284	6708
254	2293	6700
255	2302	6691
256	2311	6682
257	2320	6674
258	2329	6665
259	2339	6657
260	2348	6648
261	2357	6640
262	2366	6631
263	2375	6623
264	2385	6615
265	2394	6607
266	2403	6599
267	2413	6591
268	2422	6583
269	2431	6575
270	2441	6567
271	2450	6558
272	2459	6550
273	2469	6542
274	2478	6534
275	2487	6525
276	2497	6517
277	2506	6509
278	2516	6501
279	2525	6494
280	2534	6485
281	2543	6476
282	2552	6468
283	2562	6459
284	2571	6452
285	2581	6443
286	2590	6435
287	2599	6426
288	2608	6418
289	2617	6409
290	2626	6400
291	2636	6391
292	2645	6382
293	2654	6374
294	2663	6365
295	2672	6356
296	2682	6348
297	2691	6340
298	2700	6331
299	2709	6323
300	2719	6314
301	2728	6306
302	2738	6298
303	2747	6289
304	2756	6281
305	2766	6273
306	2775	6264
307	2784	6256
308	2794	6249
309	2803	6241
310	2812	6231
311	2822	6223
312	2831	6214
313	2840	6206
314	2850	6198
315	2859	6189
316	2868	6181
317	2878	6172
318	2887	6164
319	2897	6156
320	2906	6147
321	2915	6139
322	2925	6130
323	2934	6122
324	2943	6114
325	2953	6106
326	2962	6097
327	2971	6088
328	2980	6079
329	2990	6070
330	2999	6062
331	3008	6054
332	3018	6045
333	3027	6036
334	3036	6027
335	3045	6019
336	3055	6010
337	3064	6001
338	3073	5992
339	3082	5984
340	3092	5975
341	3101	5966
342	3110	5957
343	3119	5947
344	3127	5938
345	3136	5929
346	3145	5919
347	3154	5909
348	3162	5899
349	3171	5890
350	3180	5880
351	3188	5869
352	3197	5859
353	3207	5853
354	3216	5843
355	3225	5834
356	3234	5826
357	3243	5817
358	3253	5809
359	3262	5799
360	3271	5790
361	3280	5781
362	3289	5772
363	3298	5763
364	3308	5755
365	3317	5746
366	3326	5737
367	3335	5728
368	3344	5719
369	3354	5711
370	3363	5702
371	3372	5693
372	3382	5685
373	3391	5676
374	3400	5667
375	3409	5658
376	3418	5649
377	3428	5641
378	3437	5632
379	3447	5624
380	3456	5615
381	3465	5607
382	3474	5597
383	3483	5588
384	3493	5580
385	3502	5571
386	3511	5561
387	3520	5553
388	3529	5544
389	3538	5534
390	3547	5526
391	3557	5517
392	3566	5508
393	3575	5499
394	3585	5491
395	3594	5482
396	3603	5473
397	3612	5464
398	3622	5455
399	3631	5446
400	3640	5438
401	3650	5430
402	3659	5421
403	3669	5413
404	3678	5404
405	3687	5395
406	3697	5386
407	3706	5377
408	3715	5369
409	3725	5360
410	3734	5352
411	3743	5343
412	3753	5335
413	3763	5326
414	3772	5317
415	3781	5308
416	3790	5299
417	3799	5290
418	3809	5281
419	3818	5272
420	3827	5263
421	3836	5254
422	3845	5245
423	3855	5238
424	3865	5229
425	3874	5219
426	3883	5210
427	3892	5201
428	3901	5192
429	3910	5183
430	3920	5175
431	3929	5166
432	3938	5157
433	3948	5148
434	3957	5140
435	3966	5130
436	3975	5121
437	3984	5112
438	3993	5103
439	4002	5093
440	4010	5084
441	4019	5074
442	4028	5065
443	4037	5055
444	4046	5046
445	4055	5038
446	4064	5028
447	4073	5019
448	4082	5010
449	4091	5001
450	4100	4991
451	4109	4982
452	4117	4972
453	4126	4963
454	4136	4954
455	4144	4944
456	4153	4934
457	4161	4925
458	4170	4915
459	4179	4906
460	4187	4896
461	4196	4886
462	4204	4876
463	4213	4867
464	4222	4858
465	4231	4848
466	4240	4839
467	4249	4830
468	4258	4821
469	4273	4819
470	4282	4809
471	4291	4800
472	4300	4790
473	4308	4781
474	4317	4771
475	4325	4762
476	4334	4752
477	4342	4742
478	4351	4732
479	4359	4723
480	4368	4713
481	4377	4704
482	4386	4694
483	4394	4685
484	4403	4675
485	4411	4665
486	4420	4656
487	4428	4646
488	4437	4637
489	4446	4627
490	4455	4618
491	4463	4609
492	4472	4599
493	4481	4589
494	4489	4580
495	4498	4570
496	4506	4560
497	4515	4551
498	4522	4541
499	4531	4531
500	4540	4522
501	4549	4512
502	4558	4503
503	4566	4494
504	4575	4485
505	4584	4476
506	4593	4466
507	4602	4457
508	4610	4447
509	4619	4438
510	4627	4428
511	4636	4418
512	4644	4409
513	4653	4399
514	4662	4390
515	4670	4381
516	4679	4371
517	4688	4362
518	4697	4353
519	4706	4344
520	4714	4334
521	4723	4325
522	4731	4315
523	4740	4306
524	4749	4297
525	4757	4287
526	4766	4278
527	4775	4268
528	4784	4259
529	4792	4250
530	4801	4240
531	4809	4230
532	4818	4221
533	4827	4212
534	4836	4203
535	4844	4193
536	4853	4184
537	4862	4175
538	4871	4166
539	4880	4157
540	4888	4147
